Course Title
Natural Language Processing for Low Resource Languages 
Introduction to Machine Learning
Interactive Learning Decision Process
Machine Learning
Machine Learning
Distributed Algorithms and Optimization
Machine Learning
Introduction to Machine Learning
Deep Reinforcment Learning and Control
Advanced Introduction to Machine Learning
Advanced Machine Learning: Theory & Methods
Data Analysis
Machine Learning for Signal Processing
Intermediate Statistics
Statistical Methods in Machine Learning
Machine Learning
Advanced Machine Learning
Introduction to Supervised Learning
Unsupervised Learning
Data Science: Machine Learning
Machine Learning with Python: A Practical Introduction
Machine Learning with Python: from Linear Models to Deep Learning
Machine Learning for Data Science and Analytics
