Course Title
Supervised Learning II
Parsing for Computational Linguistics
Computational Linguistics
Machine Translation
Advanced Computational Semantics
Trends in Computational Linguistics
Advanced Machine Learning
Natural Language Processing
Machine Learning II Deep Learning
Deep Learning
Intro to deep learning
Natural Language Processing with Deep Learning
Deep Learning
Deep Learning for Computer Vision
Deep Generative Models
Intermediate Deep Learning
Deep Learning
Multimodal Machine Learning
Introduction to Deep Learning
Multilingual Natural Language Processing
Neural Networks for Natural Language Procesing
