Course Title
Optimization
Fundamentals of Optimization
Optimization for Data Science
Combinatorial Optimization
Convex Optimization and Analysis
Optimization for Engineering Application
data mining and prescriptive analytics
Optimization Models
Design and Analysis of Algortithms
Fundamentals of Optimization
Optimization and Optimal Control
Optimization Methods
Discrete Mathematics and Algorithms
Optimization
Convex Optimization I
Convex Optimization
