Course Title
Porgramming for Data Science
Programming for Data Manipulation
Data Visualization I
Data Science Workflows
Communication and Argumentation
Data Visualization II
Programming for Data Science
Scripting and Reporting
Data Wrangling
Data Visualization I
Data Visualization II
Communication and Argumentation
Explorative Data Analysis
Introduction to Data Science
Advanced Data Visualizatio
Geospatial Data Analysis
Statistic and its application in business
Business Intelligence and Data Visualization
Data Visualization
Visualization
Introduction to Data Science
Comparative Perspective on Business Organisations
Data Analysis and Report Writing
"Analytics Lab: Action Learning Seminar on Analytics, Machine Learning, and the Digital Economy"
From Analytics to Action
Introduction to causal inference
Foundations of Computational Data Science
Interactive Data Science
Data Science 1 Introduction to Data Science
Data Science 2: Advanced Topics in Data Science
Capstone Project
Visualization
Data Science Capstone I
Data Science Capstone II
Introduction to Machine Learning
Data Science Programming
Advanced Machine Learning
Analytics for Unstructred Data
Financial Management
Business Analytics Capstone
Advanced Data Analytics in Marketing
Introduction to Data Science Specialization
Introduction to Data Science in Python
Introduction to Data Analytics
Applied Data Science with Python Specialization
Data Analysis Using Python
Data Science as a Field
Introduction to Data Science and scikit-learn in Python
Applied Data Science Specialization
"Applied Plotting, Charting & Data Representation in Python"
Applied Machine Learning in Python
Data Science and Analysis Tools - from Jupyter to R Markdown Specialization
Data Science Fundamentals for Data Analysts
Python Project for Data Science
Spatial Data Science and Applications
Survey Data Collection and Analytics Specialization
Predictive Modeling and Analytics
"Intro to Analytic Thinking, Data Science, and Data Mining"
Data Science Fundamentals with Python and SQL Specialization
Accounting Data Analytics Specialization
A Crash Course in Data Science
Vital Skills for Data Science Specialization
Python and Machine-Learning for Asset Management with Alternative Data Sets
Data Science Fundamentals Specialization
Data Processing and Feature Engineering with MATLAB
Basic Data Processing and Visualization
IBM Data Analytics with Excel and R Professional Certificate
Data Science: Statistics and Machine Learning Specialization
Python Data Products for Predictive Analytics Specialization
Introduction to Accounting Data Analytics and Visualization
Design Thinking and Predictive Analytics for Data Products
Introduction to Data Science
Data Science: R Basics
Data Science: Visualization
Data Science: Productivity Tools
Data Science: Wrangling
Data Science: Capstone
Introduction to Data Science
Data Science Tools
The Data Science Method
Python Basics for Data Science
Python for Data Science Project
Analyzing Data with Python
Visualizing Data with Python
Data Science and Machine Learning Capstone Project
Capstone Exam in Statistics and Data Science
Data Analysis in Social Science—Assessing Your Knowledge
Data Analysis: Statistical Modeling and Computation in Applications
Python for Data Science
Machine Learning Fundamentals
Data Science: Computational Thinking with Python
Statistical Thinking for Data Science and Analytics
