Course Title
UI/UX Design and Quality Engineering
Implememtation of Business Optimization Models
Information Retreival
Knowledge Management
SSIM Ethics & Data Privacy
Communications and Data Storytelling Workshop
Advanced Software DEvelopmemnt for Scientists an d engineers
Computational Forensiscs and AI
Question Answering
Machine Learning with Large Datasets
Scalability in Machine Learning
Machine Learning for Text Mining
Large Scale Multimedia Analysis
Human to AI interaction
Designing Human Centered Software
Human Factors
Social Web
E-Learning
Tools for Online Learning
"Gadgets, Sensors and Acitivity Recognitopn"
Learning Analytics and Educational Sciences
Data Visualization for Data Scientists
Wearable Technologies and Sports Analytics
""
